,"Отношение числа умерших за 2019 год детей в сельской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в сельской местности к числу новорожденных, в %"
Белгородская область,0.12123048946810122,0.17810880829015543
Брянская область,0.10969285999202233,0.12658227848101267
Владимирская область,0.13443269403118838,0.09881422924901186
Воронежская область,0.0356361044646948,0.06262721152340692
Ивановская область,0.11319330901773363,0.039666798889329634
Калужская область,0.07780371234856062,0.08899766381132496
Костромская область,0.12106537530266344,0.2406516105146242
Курская область,0.15015015015015015,0.12073317967292285
Липецкая область,0.14243564960830196,0.1384598998828416
Московская область,0.03933216693114158,0.03286687650903207
Орловская область,0.20060180541624875,0.2092414995640802
Рязанская область,0.10826025765941323,0.17239397770371223
Смоленская область,0.056425447876992524,0.183094293561184
Тамбовская область,0.15535991714137753,0.18834925332974572
Тверская область,0.12017008689221668,0.11910669975186104
Тульская область,0.12493307156880243,0.13873473917869034
Ярославская область,0.1064773735581189,0.07558578987150416
Москва,0.0036668451197958305,0.008095592759301835
Республка Карелия,0.1263537906137184,0.07693787266782073
Республика Коми,0.1132787916928886,0.05279831045406547
Ненецкий автономный округ,0.0,0.33670033670033667
Вологодская область,0.2127659574468085,0.21499345672088244
Калининградская область,0.09671179883945842,0.05384449709239716
Ленинградская область,0.0964677945978035,0.10552498680937664
Мурманская область,0.014954389113204725,0.0
Новгородская область,0.1736111111111111,0.1637331150225133
Псковская область,0.22522522522522523,0.20020020020020018
Санкт-Петербург,0.0,0.0
Республика Адыгея,0.09521542489883361,0.15844273426889996
Республика Калмыкия,0.14179369018078697,0.18037518037518038
Республика Крым,0.27584053294472777,0.28619885520457916
Краснодарский край,0.12420533102354997,0.15362539039419262
Астраханская область,0.1635620172648796,0.11914581614884062
Волгоградская область,0.15170190575519105,0.15765651223109395
Ростовская область,0.17208058666243084,0.20830478278744688
Севастополь,0.0,0.0
Республика Дагестан,0.4547851305035592,0.3891970928482346
Республика Ингушетия,0.28832894571894196,0.271771239513175
Республика Кабардино-Балкария,0.2406497543367091,0.33006412674462465
Республика Карачаево-Черкессия,0.3131115459882583,0.23446658851113714
Республика Северная Осетия-Алания,0.209570380719525,0.11033468186833395
Республика Чечня,0.3517498667614141,0.23911527348809405
Ставропольский край,0.2858878604867241,0.21464692400043656
Республика Башкортостан,0.28550355689847967,0.3035454103933949
Республика Марий Эл,0.08995502248875561,0.1656127672387835
Республика Мордовия,0.16789791806581597,0.1439366678661389
Республика Татарстан,0.11429637750460685,0.09615846915717102
Республика Удмуртия,0.198602931105328,0.15812994156067378
Республика Чувашия,0.08574123295892995,0.061908552224285845
Пермский край,0.11974703438985144,0.12143052998550667
Кировская область,0.08036431824270024,0.08475374329032866
Нижегородская область,0.13458950201884254,0.09403935185185185
Оренбургская область,0.24446142093200915,0.1650692225772098
Пензенская область,0.21225277375783888,0.18627755355479667
Самарская область,0.11426266971367119,0.09291355465818532
Саратовская область,0.1191244353998114,0.08582309714101807
Ульяновская область,0.11954022988505747,0.10632128358786005
Курганская область,0.2212677339580893,0.20191142818683536
Свердловская область,0.06916077719423372,0.08638130526698642
Ханты-Мансийский автономный округ - Югра,0.01921137313289467,0.02426595486532395
Ямало-Ненецкий автономный округ,0.24871982443306512,0.1410039481105471
Челябинская область,0.10159061883199813,0.09322747503909538
Республика Алтай,0.8338892595063376,0.7106598984771574
Республика Тыва,0.3247807729782397,0.2582801580066849
Республика Хакасия,0.14342058085335246,0.09328358208955223
Алтайский край,0.28413126864611454,0.22026431718061676
Красноярский край,0.18474531538664557,0.15180265654648956
Иркутская область,0.17302870864084186,0.18056527987618382
Кемеровская область,0.09520655683417502,0.08871146595697493
Новосибирская область,0.12937468900315144,0.11778971072232808
Омская область,0.26744978761340393,0.24719101123595505
Томская область,0.13344771709083977,0.12072434607645875
Республика Бурятия,0.29543276908335997,0.22979397781299526
Забайкальский край,0.302547770700637,0.24831784684396027
Республика Саха - Якутия,0.15601841017240034,0.25468858532067606
Камчатский край,0.21199273167777105,0.0925925925925926
Приморский край,0.18100043878894254,0.14396456256921372
Хабаровский край,0.04834588024034809,0.03639275056408763
Амурская область,0.20204571284253062,0.16554183114733223
Магаданская область,0.0,0.0
Сахалинская область,0.05269629369401019,0.08942944017170452
Еврейская автономная область,0.17825311942959002,0.3115264797507788
Чукотский автономный округ,0.7604562737642585,0.186219739292365
Архангельская область,0.16559718484785757,0.05614192679092747
Тюменская область,0.14933058702368693,0.1226470431397643
