,"Отношение числа умерших за 2015 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2016 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2017 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2018 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2019 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в городской местности к числу новорожденных, в %"
Белгородская область,0.380653828929691,0.4171253113956318,0.2845232581221465,0.27936862690319875,0.17426882861039553,0.2023963730569948
Брянская область,0.47629203099452616,0.5007848120188354,0.562624426555873,0.296655879180151,0.2592740327084164,0.30590717299578063
Владимирская область,0.46671579464505036,0.45971140339675653,0.4404628592758492,0.35550639911518406,0.38537372288940674,0.5039525691699606
Воронежская область,0.3896003703132233,0.38495468762531077,0.4013735896178031,0.3601159854082874,0.3767245329124879,0.3026981890298001
Ивановская область,0.40812856049655644,0.4560085836909871,0.3138604839526172,0.30654696737464415,0.3898880643944158,0.33055665741108026
Калужская область,0.671717566195423,0.6031953048581675,0.31945965680905436,0.4153385492127885,0.3223296654440369,0.2224941595283124
Костромская область,0.4659146640510054,0.48494129657988766,0.4483007953723789,0.41881443298969073,0.6226219301279834,0.5368382080710848
Курская область,0.2605963056641374,0.34772764030405956,0.33385885189650377,0.37959898773603273,0.28957528957528955,0.3402480518055098
Липецкая область,0.42322542322542317,0.4655422422346027,0.20752269779507135,0.22006235099944985,0.15260962458032354,0.2343167536478858
Московская область,0.43616931395741804,0.4059581852739443,0.3600238515801672,0.3749336933982736,0.3621271920901656,0.2781043396918098
Орловская область,0.5018088458396546,0.43383947939262474,0.36399272014559714,0.311804008908686,0.3343363423604146,0.36617262423714037
Рязанская область,0.45911501622734113,0.3359112569330521,0.3444837276765479,0.3801540111121942,0.3897369275738876,0.3562808872543386
Смоленская область,0.5103042198233563,0.476770135930209,0.40425040425040426,0.4604169331116511,0.3526590492312033,0.411962160512664
Тамбовская область,0.19293845263360987,0.2789400278940028,0.13471037269869782,0.20509108456991193,0.2330398757120663,0.1345351809498184
Тверская область,0.48037889039242215,0.5291368884002199,0.328201922325545,0.2834564507816526,0.2958032908116103,0.32754342431761785
Тульская область,0.5058808650562793,0.4838182412553122,0.5365926367565956,0.3876908165737824,0.35695163305372124,0.45320014798372177
Ярославская область,0.45889348500517063,0.4117916203673443,0.4729374671571204,0.2574416733708769,0.22182786157941436,0.30234315948601664
Москва,0.5934405506004635,0.5583399884338942,0.56987504574685,0.5271865834398737,0.4708229133817846,0.3562060814092808
Республка Карелия,0.42685292976329064,0.5596269153897402,0.40148239654107476,0.4299652720357202,0.34296028880866425,0.36545489517214846
Республика Коми,0.3475459862676952,0.37369872764480827,0.35838623796846203,0.34875610323180656,0.3901825047199497,0.18479408658922913
Ненецкий автономный округ,0.39370078740157477,0.12376237623762376,0.5925925925925926,0.0,0.1692047377326565,0.33670033670033667
Вологодская область,0.3662780050057994,0.4132494119142984,0.4588513913558318,0.39005363237445145,0.37234042553191493,0.33651149747616377
Калининградская область,0.49947635543381935,0.38591017324903526,0.41148500365764445,0.40615027560197275,0.5050505050505051,0.32306698255438293
Ленинградская область,0.40981061782055267,0.31831537708129287,0.32019211526916147,0.24958995935249234,0.2003561887800534,0.28642496419687946
Мурманская область,0.5824815913836686,0.3735699276208265,0.5242966751918159,0.5272407732864675,0.493494840735756,0.3857429409041815
Новгородская область,0.28517110266159695,0.37215713301171605,0.4170676932948348,0.32489740082079344,0.3665123456790123,0.24559967253376994
Псковская область,0.5151051092858138,0.46218487394957986,0.3112712975098296,0.2896575225762481,0.33783783783783783,0.20020020020020018
Санкт-Петербург,0.43831742665252743,0.3938034275991712,0.3696024519967547,0.37349585872792623,0.3627303083207621,0.34452280885297354
Республика Адыгея,0.33849991092107606,0.1100715465052284,0.3343782654127482,0.2438483706495234,0.38086169959533445,0.15844273426889996
Республика Калмыкия,0.34004708344232276,0.429553264604811,0.09907529722589167,0.1971738416036806,0.0,0.10822510822510822
Республика Крым,0.258861842929314,0.2522287453794303,0.2337563209617403,0.18209557556966388,0.187363380868117,0.2543989824040704
Краснодарский край,0.28312570781426954,0.2777551960545213,0.2494249783433402,0.21665750843865295,0.25004494271846245,0.23465856334937116
Астраханская область,0.5983193277310924,0.42747021723896284,0.4220436652869085,0.48305084745762716,0.4906860517946388,0.4674182018146824
Волгоградская область,0.47486601994437283,0.4262364379315204,0.2860207365033965,0.3366859870439823,0.2607376505167346,0.3356558002339419
Ростовская область,0.42036522895241074,0.4305093006254569,0.39239983477901696,0.3161555485298767,0.3097450559923755,0.3398656982321502
Севастополь,0.4386766587461159,0.44370493621741547,0.39215686274509803,0.2748511223087494,0.3515350363252871,0.35502958579881655
Республика Дагестан,0.40749945179445946,0.3722318796765173,0.31000357696434955,0.28773978315262716,0.3295544423938835,0.29243538468154645
Республика Ингушетия,0.587964030435785,0.5526218838265995,0.375,0.3536693191865605,0.3259370690735866,0.28358738036157394
Республика Кабардино-Балкария,0.3009424249623822,0.36912476417028955,0.2614496934727732,0.1746163036485617,0.2607039005314349,0.2074688796680498
Республика Карачаево-Черкессия,0.3963467172152335,0.26905829596412556,0.2137998056365403,0.341571227647177,0.2152641878669276,0.25400547088706527
Республика Северная Осетия-Алания,0.5705444347741998,0.40338846308995563,0.322508896797153,0.2631578947368421,0.40749796251018744,0.2942258183155572
Республика Чечня,0.43984153227064293,0.3813601846586157,0.3412512546002007,0.2409396646923,0.24160596908864806,0.3619939556972535
Ставропольский край,0.45674664318732117,0.5084884769949971,0.48983364140480595,0.3665881120712228,0.30375585176714437,0.28740859315312695
