,"Среднемесячная номинальная начисленная заработная плата в 2020 году, руб."
Белгородская область,37442.0
Брянская область,31946.0
Владимирская область,35240.0
Воронежская область,36317.0
Ивановская область,29083.0
Калужская область,43994.0
Костромская область,32220.0
Курская область,35805.0
Липецкая область,36790.0
Московская область,58066.0
Орловская область,31862.0
Рязанская область,36459.0
Смоленская область,33139.0
Тамбовская область,31063.0
Тверская область,36077.0
Тульская область,40889.0
Ярославская область,37820.0
Москва,100070.0
Республка Карелия,46501.0
Республика Коми,57156.0
Ненецкий автономный округ,92237.0
Вологодская область,42775.0
Калининградская область,36647.0
Ленинградская область,48286.0
Мурманская область,69135.0
Новгородская область,34169.0
Псковская область,31496.0
Санкт-Петербург,68667.0
Республика Адыгея,32161.0
Республика Калмыкия,32013.0
Республика Крым,34181.0
Краснодарский край,38499.0
Астраханская область,38885.0
Волгоградская область,35962.0
Ростовская область,35622.0
Севастополь,36300.0
Республика Дагестан,31342.0
Республика Ингушетия,29648.0
Республика Кабардино-Балкария,29899.0
Республика Карачаево-Черкессия,29865.0
Республика Северная Осетия-Алания,30479.0
Республика Чечня,29771.0
Ставропольский край,33877.0
Республика Башкортостан,38738.0
Республика Марий Эл,32278.0
Республика Мордовия,31105.0
Республика Татарстан,39761.0
Республика Удмуртия,36380.0
Республика Чувашия,31844.0
Пермский край,41958.0
Кировская область,32692.0
Нижегородская область,37601.0
Оренбургская область,35075.0
Пензенская область,32766.0
Самарская область,38748.0
Саратовская область,33545.0
Ульяновская область,32504.0
Курганская область,33182.0
Свердловская область,43256.0
Ханты-Мансийский автономный округ - Югра,79822.0
Ямало-Ненецкий автономный округ,111216.0
Челябинская область,39349.0
Республика Алтай,36269.0
Республика Тыва,44104.0
Республика Хакасия,43800.0
Алтайский край,30072.0
Красноярский край,54426.0
Иркутская область,49885.0
Кемеровская область,43429.0
Новосибирская область,41534.0
Омская область,37828.0
Томская область,48730.0
Республика Бурятия,41800.0
Республика Саха - Якутия,77178.0
Забайкальский край,47172.0
Камчатский край,85623.0
Приморский край,50105.0
Хабаровский край,53113.0
Амурская область,52430.0
Магаданская область,102843.0
Сахалинская область,92518.0
Еврейская автономная область,46237.0
Чукотский автономный округ,120641.0
Архангельская область,52779.0
Тюменская область,51501.0
