,"Динамика среднемесячной номинальной начисленной зарплаты в 2016 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2017 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2018 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2019 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2020 г., руб."
Белгородская область,6.422847,7.290244,9.585082,8.674495,8.16698
Брянская область,5.738272,7.939624,10.1362,9.548273,7.011021
Владимирская область,5.268669,7.320469,12.91937,8.588313,6.542508
Воронежская область,5.737573,6.348965,11.425715,7.956548,7.797566
Ивановская область,4.645338,5.988078,9.625053,7.089277,5.552934
Калужская область,5.771736,8.415701,11.257719,8.495432,6.158004
Костромская область,5.473481,6.807604,12.91032,13.335017,2.542885
Курская область,5.877681,7.687448,9.763878,9.259445,9.465285
Липецкая область,6.891209,8.548867,11.129854,8.506736,7.221963
Московская область,4.952882,9.799325,10.89333,6.964073,4.519845
Орловская область,6.22359,7.281532,10.741203,8.032465,7.340902
Рязанская область,6.981399,5.715124,10.746383,8.058654,5.715031
Смоленская область,6.932254,4.669881,11.907572,6.367997,5.980364
Тамбовская область,4.925201,6.39614,9.924545,7.64066,8.244764
Тверская область,5.599903,5.417478,12.447487,7.971271,7.61544
Тульская область,6.702958,7.601524,9.561589,10.065778,7.176745
Ярославская область,6.624794,7.713885,8.964844,7.593954,5.008885
Москва,10.99207,3.408566,13.53303,12.52133,6.125522
Республка Карелия,7.676524,4.152929,14.427601,9.04015,8.232474
Республика Коми,5.553004,4.642481,10.339469,5.956797,7.001647
Ненецкий автономный округ,0.87042,3.233125,11.612042,6.330781,4.782624
Вологодская область,6.769903,8.012831,12.151275,10.195228,9.354228
Калининградская область,4.207062,3.833486,9.172662,6.745544,2.834133
Ленинградская область,6.833157,8.298687,10.927211,6.31661,4.093819
Мурманская область,6.516776,6.013963,11.771162,9.768283,8.506631
Новгородская область,5.951568,5.004657,7.338542,2.263047,6.200659
Псковская область,3.925208,5.625251,13.576229,9.564214,6.980062
Санкт-Петербург,10.220201,10.342279,12.43208,9.021698,4.243077
Республика Адыгея,4.627156,5.976027,12.164149,9.912993,6.521595
Республика Калмыкия,6.012233,7.510085,13.656791,9.858344,11.867072
Республика Крым,7.575758,8.388567,13.281101,10.48583,4.37584
Краснодарский край,7.348601,5.599638,11.544673,6.757076,6.548031
Астраханская область,7.819915,7.660132,13.618703,7.323818,7.735572
Волгоградская область,9.002094,5.302403,10.485659,8.017738,7.764226
Ростовская область,6.721849,6.785567,10.34386,7.342279,5.52478
Севастополь,11.035335,14.130838,14.905913,8.82316,4.849658
Республика Дагестан,7.224908,6.359979,14.648375,6.678593,16.79523
Республика Ингушетия,4.687864,1.165066,11.503297,8.053771,8.164903
