,Динамика новорождённых в 2016 году,Динамика новорождённых в 2017 году,Динамика новорождённых в 2018 году,Динамика новорождённых в 2019 году,Динамика новорождённых в 2020 году,Динамика новорождённых в 2021 году
Белгородская область,-3.375504,-12.444238,-5.260372,-7.822322,-6.410062,-1.044365
Брянская область,-4.890879,-13.648255,-3.713321,-9.852571,-5.464699,-4.567511
Владимирская область,-3.8197,-14.474524,-5.502053,-11.850213,-9.302742,-3.359684
Воронежская область,-3.803425,-10.085011,-4.642555,-8.133009,-2.4538,-2.964355
Ивановская область,-4.906045,-11.686338,-7.522527,-12.951609,-4.879889,-3.120455
Калужская область,-4.178708,-10.69449,-5.503834,-13.097653,-0.088919,-3.949271
Костромская область,-3.923492,-11.753446,-10.22415,-6.862113,-6.57212,-8.922621
Курская область,-5.219591,-12.801229,-4.720393,-9.246642,-2.284427,-3.347602
Липецкая область,-2.710128,-11.73777,-5.698227,-9.875298,-4.476549,-4.217702
Московская область,2.238932,-8.186307,-6.677317,-11.111781,7.29137,-7.061322
Орловская область,-3.162563,-13.919017,-5.711886,-11.180401,-4.129054,-5.945946
Рязанская область,1.32985,-13.827045,-6.998459,-9.961985,-5.80275,-7.665786
Смоленская область,-3.258096,-12.172855,-9.69046,-9.336232,-7.546904,-6.48459
Тамбовская область,-3.164191,-11.257223,-6.94881,-6.816263,-3.767478,-2.892506
Тверская область,-1.542625,-12.060198,-9.025553,-7.077822,-6.868183,-6.253102
Тульская область,-3.281902,-12.271984,-7.728425,-9.490348,-3.515974,-6.233814
Ярославская область,-1.118149,-12.92895,-6.688687,-9.332261,-6.086957,-3.269085
Москва,2.009973,-7.822956,-0.686389,2.547191,-9.411325,6.412519
Республка Карелия,-2.923296,-13.710859,-6.62446,-8.384323,-6.155235,-1.442585
Республика Коми,-4.730016,-13.106148,-11.918902,-7.637759,-4.64443,-4.316262
Ненецкий автономный округ,6.036745,-16.460396,-9.925926,-2.796053,0.507614,-6.902357
Вологодская область,-3.980221,-14.094984,-8.9254,-8.337396,-5.159574,-2.617312
Калининградская область,-1.88512,-10.206092,-5.440746,-10.008703,-0.214915,-4.11372
Ленинградская область,1.434337,-8.23335,-6.457208,-3.900735,-1.550905,-1.41705
Мурманская область,-5.857787,-8.708849,-5.409207,-9.598486,-3.080604,-6.912514
Новгородская область,-1.480174,-14.073053,-6.191851,-11.354309,-5.748457,-6.385591
Псковская область,-0.598636,-14.509804,-3.849934,-9.217925,-6.25,0.780781
Санкт-Петербург,3.045599,-8.67328,-3.858289,-7.802782,-6.030815,-3.67972
Республика Адыгея,-2.886157,-12.217942,-5.726228,-6.87209,5.165437,3.055681
Республика Калмыкия,-8.658122,-13.287514,0.495376,-7.295432,-1.736973,-4.401154
Республика Крым,-3.991483,-8.841052,-3.067455,-5.43826,-1.80077,-3.688785
Краснодарский край,-0.493448,-9.283798,-4.867521,-3.934375,-3.193384,-0.111421
Астраханская область,-4.067227,-13.658024,-4.228553,-6.737288,-0.854157,-1.851343
Волгоградская область,-3.710739,-11.325208,-6.78902,-10.10058,-6.78392,-0.549255
Ростовская область,-3.718766,-11.50597,-5.642756,-8.137357,-3.409843,-1.926819
Севастополь,-1.133248,-10.427066,-9.886481,-2.267522,-0.984298,0.213018
Республика Дагестан,-3.289233,-4.916484,-4.693772,-5.095913,2.175059,-4.678966
Республика Ингушетия,-6.121743,-1.75611,-1.0375,0.757863,6.092516,0.200874
Республика Кабардино-Балкария,-3.452918,-9.014847,-1.902272,-8.344821,6.327083,-1.339117
Республика Карачаево-Черкессия,-3.929002,-7.713004,-3.265306,2.672293,0.156556,-12.661196
Республика Северная Осетия-Алания,-4.109854,-9.318273,1.423488,-5.822368,-5.029689,-0.809121
Республика Чечня,-6.750476,-0.010036,-0.023419,-5.816016,6.985255,0.777125
Ставропольский край,0.646599,-11.260559,-5.878004,-8.408615,-1.772505,-3.045076
Республика Башкортостан,-5.89229,-11.574639,-4.498579,-10.655982,-2.024696,-4.485187
Республика Марий Эл,-3.858909,-14.842688,-8.70259,-10.325356,-0.41979,-3.417645
Республика Мордовия,1.411495,-13.680251,-3.660662,-10.193004,-6.682337,-5.487585
Республика Татарстан,-1.838345,-13.854224,-3.730645,-7.446028,-2.969373,-1.591423
Республика Удмуртия,-5.275963,-14.602359,-8.432661,-11.180049,-0.390357,-1.870058
Республика Чувашия,-4.288715,-14.972871,-6.352621,-10.703621,-3.052388,-2.149111
