,"Динамика населения на 2016 г., в %","Динамика населения на 2018 г., в %","Динамика населения на 2020 г., в %","Динамика населения на 2021 г., в %","Динамика населения на 2022 г., в %"
Белгородская область,0.142189,-0.192483,0.111993,-0.50944,-0.606128
Брянская область,-0.583889,-0.782283,-0.641233,-0.822564,-1.176225
Владимирская область,-0.600805,-0.81045,-0.541,-1.201178,-1.373967
Воронежская область,0.099951,-0.070223,-0.155338,-0.800145,-0.777669
Ивановская область,-0.681931,-0.833097,-0.701567,-1.013203,-1.024688
Калужская область,-0.070659,-0.237933,-0.674176,-0.15909,1.185238
Костромская область,-0.449273,-0.745653,-0.609164,-0.78341,-1.216856
Курская область,0.236357,-0.68181,-0.273974,-0.681154,-1.176848
Липецкая область,-0.15304,-0.520662,-0.40768,-0.981155,-1.286306
Московская область,1.211149,1.076518,1.200266,0.229311,0.783278
Орловская область,-0.720044,-1.002761,-0.807203,-1.201367,-1.461599
Рязанская область,-0.469863,-0.467278,-0.474807,-0.955046,-1.193254
Смоленская область,-0.638584,-0.404217,-0.793113,-1.472046,-1.22361
Тамбовская область,-1.141355,-0.651238,-0.907314,-1.224537,-1.351139
Тверская область,-0.785281,-0.996762,-0.729107,-1.171076,-1.238661
Тульская область,-0.470675,-0.504329,-0.858185,-1.160336,-1.141731
Ярославская область,0.022255,-0.397565,-0.494041,-0.954612,-1.13104
Москва,1.086526,1.016133,0.497809,-0.181644,-0.154752
Республка Карелия,-0.420215,-0.733396,-0.645896,-0.813107,-0.985764
Республика Коми,-0.878388,-1.138199,-1.175812,-0.838906,-1.243009
Ненецкий автономный округ,1.072096,0.136559,0.64341,0.630228,0.340174
Вологодская область,-0.279175,-0.60573,-0.622413,-0.810293,-1.00283
Калининградская область,0.773523,0.845415,1.030247,0.603647,0.888846
Ленинградская область,0.186816,1.222156,1.515531,0.897663,0.997247
Мурманская область,-0.536096,-0.536416,-0.889238,-1.151869,-1.147826
Новгородская область,-0.486663,-0.987067,-0.631022,-0.68616,-1.06108
Псковская область,-0.727068,-0.874854,-0.561581,-0.936889,-1.111328
Санкт-Петербург,0.654893,1.332102,0.263267,-0.254202,-0.127016
Республика Адыгея,0.514058,0.002206,1.834879,0.017059,1.116876
Республика Калмыкия,-0.652614,-0.860322,-0.554563,-0.424512,-0.825234
