,январь 2015 г.,январь 2016 г.,январь 2017 г.,январь 2018 г.,январь 2019 г.,январь 2020 г.,январь 2021 г.,январь 2022 г.
Белгородская область,1547936.0,1550137.0,1552865.0,1549876.0,1547418.0,1549151.0,1541259.0,1531917.0
Брянская область,1232940.0,1225741.0,1220530.0,1210982.0,1200187.0,1192491.0,1182682.0,1168771.0
Владимирская область,1405613.0,1397168.0,1389599.0,1378337.0,1365805.0,1358416.0,1342099.0,1323659.0
Воронежская область,2331147.0,2333477.0,2335408.0,2333768.0,2327821.0,2324205.0,2305608.0,2287678.0
Ивановская область,1036909.0,1029838.0,1023170.0,1014646.0,1004180.0,997135.0,987032.0,976918.0
Калужская область,1010486.0,1009772.0,1014570.0,1012156.0,1009380.0,1002575.0,1000980.0,1012844.0
Костромская область,654390.0,651450.0,648157.0,643324.0,637267.0,633385.0,628423.0,620776.0
Курская область,1117378.0,1120019.0,1122893.0,1115237.0,1107041.0,1104008.0,1096488.0,1083584.0
Липецкая область,1157865.0,1156093.0,1156221.0,1150201.0,1144035.0,1139371.0,1128192.0,1113680.0
Московская область,7231068.0,7318647.0,7423470.0,7503385.0,7599647.0,7690863.0,7708499.0,7768878.0
Орловская область,765231.0,759721.0,754816.0,747247.0,739467.0,733498.0,724686.0,714094.0
Рязанская область,1135438.0,1130103.0,1126739.0,1121474.0,1114137.0,1108847.0,1098257.0,1085152.0
Смоленская область,964791.0,958630.0,953201.0,949348.0,942363.0,934889.0,921127.0,909856.0
Тамбовская область,1062421.0,1050295.0,1040327.0,1033552.0,1015966.0,1006748.0,994420.0,980984.0
Тверская область,1315071.0,1304744.0,1296799.0,1283873.0,1269636.0,1260379.0,1245619.0,1230190.0
Тульская область,1513570.0,1506446.0,1499417.0,1491855.0,1478818.0,1466127.0,1449115.0,1432570.0
Ярославская область,1271629.0,1271912.0,1270736.0,1265684.0,1259612.0,1253389.0,1241424.0,1227383.0
Москва,12197596.0,12330126.0,12380664.0,12506468.0,12615279.0,12678079.0,12655050.0,12635466.0
Республка Карелия,632533.0,629875.0,627083.0,622484.0,618056.0,614064.0,609071.0,603067.0
Республика Коми,864424.0,856831.0,850554.0,840873.0,830235.0,820473.0,813590.0,803477.0
Ненецкий автономный округ,43373.0,43838.0,43937.0,43997.0,43829.0,44111.0,44389.0,44540.0
Вологодская область,1191010.0,1187685.0,1183860.0,1176689.0,1167713.0,1160445.0,1151042.0,1139499.0
Калининградская область,968944.0,976439.0,986261.0,994599.0,1002187.0,1012512.0,1018624.0,1027678.0
Ленинградская область,1775540.0,1778857.0,1791916.0,1813816.0,1847867.0,1875872.0,1892711.0,1911586.0
Мурманская область,766281.0,762173.0,757621.0,753557.0,748056.0,741404.0,732864.0,724452.0
Новгородская область,618703.0,615692.0,612522.0,606476.0,600296.0,596508.0,592415.0,586129.0
Псковская область,651108.0,646374.0,642164.0,636546.0,629651.0,626115.0,620249.0,613356.0
Санкт-Петербург,5191690.0,5225690.0,5281579.0,5351935.0,5383890.0,5398064.0,5384342.0,5377503.0
Республика Адыгея,449171.0,451480.0,453366.0,453376.0,454744.0,463088.0,463167.0,468340.0
Республика Калмыкия,280564.0,278733.0,277803.0,275413.0,272647.0,271135.0,269984.0,267756.0
Республика Крым,1895915.0,1907106.0,1912168.0,1913731.0,1911818.0,1912622.0,1901578.0,1896393.0
Краснодарский край,5453329.0,5513804.0,5570945.0,5603420.0,5648235.0,5675462.0,5683947.0,5687378.0
Астраханская область,1021287.0,1018626.0,1018866.0,1017514.0,1014065.0,1005782.0,997778.0,989430.0
Волгоградская область,2557397.0,2545937.0,2535202.0,2521276.0,2507509.0,2491036.0,2474556.0,2449781.0
Ростовская область,4242080.0,4236000.0,4231355.0,4220452.0,4202320.0,4197821.0,4181486.0,4153763.0
Севастополь,398973.0,416263.0,428753.0,436670.0,443212.0,449138.0,509992.0,522057.0
Республика Дагестан,2990371.0,3015660.0,3041900.0,3063885.0,3086126.0,3110858.0,3133303.0,3153857.0
Республика Ингушетия,463893.0,472776.0,480474.0,488043.0,497393.0,507061.0,515564.0,524058.0
Республика Кабардино-Балкария,860709.0,862254.0,864454.0,865828.0,866219.0,868350.0,869191.0,870487.0
