,Динамика процента людей за чертой бедности в 2016 году,Динамика процента людей за чертой бедности в 2017 году,Динамика процента людей за чертой бедности в 2018 году,Динамика процента людей за чертой бедности в 2019 году,Динамика процента людей за чертой бедности в 2020 году
Республка Карелия,0.5,-0.1999999999999993,-0.9000000000000004,0.09999999999999964,-0.5999999999999996
Республика Кабардино-Балкария,4.699999999999999,-1.1000000000000014,-0.5,0.0,0.0
Челябинская область,0.10000000000000142,-0.6000000000000014,-0.3999999999999986,0.0,-0.20000000000000107
Республика Бурятия,0.40000000000000213,-0.3000000000000007,0.10000000000000142,1.0,-0.20000000000000284
Республика Удмуртия,0.09999999999999964,-0.20000000000000107,0.0,0.20000000000000107,-0.5
Забайкальский край,0.8000000000000007,-0.10000000000000142,-0.6000000000000014,0.10000000000000142,-0.6000000000000014
Республика Адыгея,-0.5,-0.40000000000000036,-0.1999999999999993,-0.20000000000000107,-0.09999999999999964
Костромская область,-0.6000000000000014,-0.29999999999999893,-0.7000000000000011,-0.09999999999999964,-0.09999999999999964
Мурманская область,-0.6999999999999993,-0.6999999999999993,-1.4000000000000004,0.6999999999999993,-0.5
Республика Мордовия,-1.3000000000000007,-0.3000000000000007,-0.3999999999999986,0.1999999999999993,-0.3999999999999986
Республика Северная Осетия-Алания,0.10000000000000142,0.09999999999999964,-0.40000000000000036,-0.1999999999999993,0.09999999999999964
Ханты-Мансийский автономный округ - Югра,-0.3000000000000007,-2.0999999999999996,-0.5,-0.09999999999999964,-0.5
Чукотский автономный округ,0.0,-0.09999999999999964,0.3000000000000007,-0.3000000000000007,-0.5
Республика Алтай,0.8000000000000007,-0.20000000000000284,-1.3999999999999986,0.3000000000000007,-0.5
Красноярский край,-0.5,-0.7999999999999972,-0.5,0.1999999999999993,-0.3000000000000007
Пермский край,2.5,-0.20000000000000107,-0.1999999999999993,-1.0999999999999996,-0.5
Ямало-Ненецкий автономный округ,-0.40000000000000036,-1.0,-0.2999999999999998,-0.2999999999999998,-0.7000000000000002
Кировская область,0.5999999999999996,-0.5,-0.20000000000000107,-0.5999999999999996,-0.5999999999999996
Томская область,0.09999999999999964,-0.1999999999999993,-0.10000000000000142,0.10000000000000142,-0.40000000000000036
Калужская область,-0.5,-0.3000000000000007,0.40000000000000036,-0.20000000000000107,-0.5
Иркутская область,-0.6999999999999993,-2.0,-0.3999999999999986,0.29999999999999716,-0.29999999999999716
Сахалинская область,-0.09999999999999964,-0.7000000000000011,-0.6999999999999993,-0.3000000000000007,-0.4999999999999991
Воронежская область,-0.09999999999999964,-0.40000000000000036,-0.09999999999999964,0.0,-0.40000000000000036
Республика Ингушетия,-0.5999999999999979,0.3000000000000007,0.7999999999999972,0.10000000000000142,-0.5
Республика Тыва,0.8999999999999986,-2.0,-1.3999999999999986,-0.29999999999999716,-2.400000000000002
Республика Татарстан,0.40000000000000036,-0.2999999999999998,-0.20000000000000018,-0.09999999999999964,-0.3000000000000007
Севастополь,-3.4000000000000004,-0.7999999999999989,-0.09999999999999964,0.7999999999999989,-0.5999999999999996
Курская область,0.09999999999999964,-0.1999999999999993,-0.40000000000000036,0.0,0.0
Тамбовская область,-0.09999999999999964,-0.1999999999999993,-0.5999999999999996,0.8999999999999986,0.10000000000000142
Владимирская область,-0.09999999999999964,-1.4000000000000004,-0.09999999999999964,-0.5,-0.09999999999999964
Республика Коми,0.5000000000000018,-0.40000000000000213,-0.7999999999999989,0.5999999999999996,-0.1999999999999993
Республика Чечня,1.3000000000000007,3.3999999999999986,-0.1999999999999993,0.1999999999999993,-0.3000000000000007
Кемеровская область,0.10000000000000142,-0.9000000000000004,-1.0,-0.3000000000000007,-0.40000000000000036
Калининградская область,0.5,-0.29999999999999893,-0.20000000000000107,-0.09999999999999964,0.0
Новгородская область,0.9000000000000004,-0.9000000000000004,-0.3000000000000007,0.20000000000000107,-0.20000000000000107
Ставропольский край,0.40000000000000036,-0.6999999999999993,-0.40000000000000036,0.09999999999999964,-0.1999999999999993
Саратовская область,-0.09999999999999787,-0.3000000000000007,-1.1999999999999993,0.1999999999999993,-0.6999999999999993
Республика Марий Эл,-0.09999999999999787,-0.40000000000000213,-1.3000000000000007,-0.29999999999999716,-0.6000000000000014
Смоленская область,0.1999999999999993,-0.9000000000000021,-0.5,-0.09999999999999787,-0.7000000000000011
Ульяновская область,-0.10000000000000142,0.20000000000000107,0.40000000000000036,0.1999999999999993,-0.5
Волгоградская область,0.20000000000000107,-0.8000000000000007,-0.1999999999999993,-0.5,-1.0
Ростовская область,-0.20000000000000107,-0.29999999999999893,-0.7000000000000011,0.10000000000000142,-0.3000000000000007
Республика Калмыкия,-2.8000000000000007,-2.3999999999999986,-0.6999999999999993,-0.10000000000000142,-0.8000000000000007
Москва,-0.40000000000000036,-1.0,-0.9000000000000004,-0.1999999999999993,-0.40000000000000036
Ленинградская область,-0.6000000000000014,-0.6999999999999993,-0.5999999999999996,0.40000000000000036,-0.10000000000000142
Курганская область,0.8999999999999986,0.0,-0.09999999999999787,0.0,-0.3000000000000007
Вологодская область,-0.6999999999999993,0.09999999999999964,-0.40000000000000036,-0.5999999999999996,-0.09999999999999964
Орловская область,-0.3000000000000007,-0.29999999999999893,-0.40000000000000036,0.09999999999999964,-0.6999999999999993
Краснодарский край,-0.09999999999999964,-0.6999999999999993,-0.5999999999999996,0.09999999999999964,0.0
Свердловская область,0.29999999999999893,-0.3999999999999986,-0.3000000000000007,-0.5999999999999996,0.09999999999999964
Ненецкий автономный округ,0.6999999999999993,0.5,-0.9000000000000004,-0.29999999999999893,0.0
Еврейская автономная область,0.3999999999999986,-1.1999999999999993,-0.6000000000000014,0.1999999999999993,-0.29999999999999716
Ивановская область,-1.0999999999999996,-0.5999999999999996,0.3999999999999986,-0.5,-0.5
Тверская область,-0.1999999999999993,-0.40000000000000036,-0.20000000000000107,-0.5,-0.29999999999999893
Московская область,-0.5000000000000009,0.10000000000000053,-0.6000000000000005,0.0,-0.5
Омская область,0.5,-0.5,-0.5999999999999996,0.3000000000000007,-0.3000000000000007
Амурская область,1.8000000000000007,-0.3000000000000007,-1.0999999999999996,0.09999999999999964,-0.5
Нижегородская область,-0.09999999999999964,0.1999999999999993,-0.5,0.0,-0.09999999999999964
Самарская область,0.40000000000000036,-0.1999999999999993,-0.6000000000000014,0.20000000000000107,-0.5999999999999996
Оренбургская область,0.6999999999999993,-0.29999999999999893,-0.10000000000000142,0.10000000000000142,-0.3000000000000007
Санкт-Петербург,-0.1999999999999993,-1.0000000000000009,-0.7999999999999998,-0.09999999999999964,-0.5
Липецкая область,-0.10000000000000142,-0.3999999999999986,-0.10000000000000142,-0.09999999999999964,-0.1999999999999993
Новосибирская область,-1.1999999999999993,-1.0000000000000018,-1.0,-0.1999999999999993,-0.09999999999999964
Магаданская область,0.09999999999999964,-1.9000000000000004,-1.5999999999999996,-0.1999999999999993,-0.6000000000000014
Брянская область,0.3000000000000007,-0.20000000000000107,-0.5999999999999996,0.20000000000000107,-0.20000000000000107
Псковская область,0.0,-1.3000000000000007,-0.6999999999999993,-0.8000000000000007,0.0
Хабаровский край,-1.0999999999999996,-0.5,-0.3000000000000007,0.0,-0.1999999999999993
