,Процент малоимущих среди детей до 16 лет в 2017 году,Процент малоимущих среди населения старше трудоспособного возраста в 2017 году,Процент малоимущих среди населения трудоспособного возраста в 2017 году,Процент малоимущих среди детей до 16 лет в 2018 году,Процент малоимущих среди населения старше трудоспособного возраста в 2018 году,Процент малоимущих среди населения трудоспособного возраста в 2018 году,Процент малоимущих среди детей до 16 лет в 2019 году,Процент малоимущих среди населения старше трудоспособного возраста в 2019 году,Процент малоимущих среди населения трудоспособного возраста в 2019 году
Белгородская область,43.4,11.8,44.8,44.8,12.9,42.3,0.0,0.0,0.0
Брянская область,42.9,4.9,52.2,40.3,1.8,57.9,37.5,5.1,57.4
Владимирская область,34.8,8.6,56.6,48.9,8.3,42.8,34.8,4.8,60.4
Воронежская область,38.6,5.9,55.6,32.6,8.0,59.4,45.2,5.4,49.4
Ивановская область,33.2,10.9,55.9,31.2,9.5,59.3,47.5,5.0,47.5
Калужская область,41.5,8.0,50.6,40.8,5.5,53.7,31.1,18.4,50.4
Костромская область,40.8,7.7,51.4,46.8,1.1,52.1,42.1,6.3,51.6
Курская область,33.8,8.1,58.1,37.4,7.6,55.0,47.0,5.9,47.2
Липецкая область,30.4,12.9,56.7,41.0,4.3,54.7,46.4,4.8,48.8
Московская область,42.8,6.7,50.5,38.4,6.7,54.9,49.1,11.5,39.3
Орловская область,35.1,7.9,57.0,39.8,4.7,55.5,38.9,6.3,54.7
Рязанская область,37.6,9.0,53.5,33.6,6.4,60.0,30.2,9.6,60.2
Смоленская область,32.1,10.3,57.7,33.0,9.6,57.4,39.1,8.9,51.9
Тамбовская область,32.7,8.2,59.1,32.2,1.3,66.5,41.0,5.1,53.9
Тверская область,38.4,7.4,54.2,43.8,4.5,51.7,36.7,13.8,49.4
Тульская область,42.5,1.7,55.8,35.4,4.2,60.4,43.0,3.2,53.7
Ярославская область,37.7,4.4,57.9,41.3,6.4,52.3,34.4,8.0,57.7
Москва,45.6,7.3,47.1,34.4,7.3,58.4,40.2,11.3,48.5
Республка Карелия,34.8,6.6,58.7,38.9,6.9,54.2,42.2,6.0,51.8
Республика Коми,34.8,8.5,56.8,38.0,7.6,54.4,39.7,6.4,53.9
Ненецкий автономный округ,50.5,1.0,48.4,50.5,5.5,44.0,45.6,2.0,52.4
Вологодская область,38.2,9.8,51.9,37.8,6.9,55.3,38.2,3.3,58.5
Калининградская область,35.9,10.6,53.5,34.8,14.9,50.3,36.8,6.0,57.1
Ленинградская область,31.5,6.4,62.1,19.0,17.0,64.1,0.0,0.0,0.0
Мурманская область,42.3,2.8,54.8,38.5,5.9,55.5,36.9,6.2,56.9
Новгородская область,30.4,11.0,58.5,24.0,12.0,64.0,38.8,4.7,56.5
Псковская область,38.1,5.2,56.7,34.1,3.7,62.1,38.0,10.1,51.9
Санкт-Петербург,26.6,0.0,73.4,25.7,9.8,64.6,0.0,0.0,0.0
Республика Адыгея,38.5,10.7,50.8,39.5,11.5,49.0,37.7,10.8,51.5
Республика Калмыкия,37.5,5.4,57.1,36.8,2.1,61.1,0.0,0.0,0.0
Республика Крым,42.2,6.3,51.5,44.9,5.5,49.6,40.2,7.5,52.3
Краснодарский край,40.5,11.6,47.9,42.5,8.4,49.1,41.2,5.2,53.6
Астраханская область,40.2,4.2,55.5,35.0,5.2,59.8,43.4,4.7,51.9
Волгоградская область,34.6,6.3,59.1,41.6,9.9,48.4,35.3,4.7,59.9
Ростовская область,40.1,3.8,56.1,38.1,4.5,57.4,39.4,9.8,50.8
Севастополь,37.6,5.6,56.7,41.6,7.2,51.1,45.2,2.1,52.7
Республика Дагестан,40.9,5.3,53.8,38.3,7.9,53.7,42.1,7.9,50.0
Республика Ингушетия,42.9,6.8,50.2,40.9,7.3,51.8,37.3,12.3,50.4
Республика Кабардино-Балкария,33.0,13.0,54.0,33.4,14.6,52.1,39.0,9.6,51.4
Республика Карачаево-Черкессия,35.6,7.9,56.5,38.2,11.0,50.8,38.3,11.0,50.7
Республика Северная Осетия-Алания,34.3,10.4,55.3,35.7,9.2,55.2,34.0,11.2,54.8
Республика Чечня,46.6,6.3,47.2,46.0,5.5,48.5,47.8,8.6,43.5
Ставропольский край,37.4,3.4,59.1,36.2,7.2,56.6,43.6,5.4,51.0
Республика Башкортостан,40.8,7.5,51.8,36.6,4.0,59.4,42.9,6.0,51.1
Республика Марий Эл,31.2,4.0,64.8,33.9,6.7,59.4,43.8,3.3,52.9
Республика Мордовия,35.3,6.2,58.6,38.0,4.2,57.8,26.8,12.1,61.2
Республика Татарстан,42.7,9.9,47.4,36.8,9.6,53.6,42.5,7.3,50.2
Республика Удмуртия,32.9,8.7,58.4,43.9,6.1,50.0,45.2,7.6,47.2
Республика Чувашия,33.2,7.4,59.5,40.5,7.3,52.2,35.7,3.9,60.4
Пермский край,41.0,4.2,54.8,38.7,6.0,55.3,40.9,6.8,52.2
Кировская область,37.6,4.9,57.5,35.9,8.0,56.0,38.0,3.9,58.1
Нижегородская область,38.7,10.9,50.4,40.1,5.6,54.3,31.9,9.7,58.5
Оренбургская область,39.6,8.6,51.8,45.0,4.6,50.3,44.0,4.5,51.5
Пензенская область,39.1,8.8,52.1,34.1,8.9,57.1,43.3,7.5,49.3
Самарская область,39.4,3.6,57.0,41.7,3.1,55.1,40.5,7.3,52.3
Саратовская область,38.4,6.5,55.1,39.2,7.8,53.0,41.1,5.6,53.4
Ульяновская область,39.1,5.2,55.7,31.8,5.5,62.7,33.0,5.8,61.2
Курганская область,37.7,3.5,58.9,39.4,5.6,55.0,41.6,4.6,53.8
Свердловская область,39.5,4.4,56.0,42.6,5.0,52.3,42.9,7.2,49.9
Ханты-Мансийский автономный округ - Югра,42.8,4.7,52.4,42.5,6.4,51.0,46.0,7.5,46.5
Ямало-Ненецкий автономный округ,37.8,1.3,60.8,47.9,0.9,51.1,54.1,1.3,44.6
Челябинская область,41.3,2.8,56.0,44.2,3.2,52.6,42.8,1.0,56.2
Республика Алтай,42.6,4.3,53.1,46.2,5.2,48.6,48.2,3.2,48.5
Республика Тыва,43.6,5.9,50.5,46.9,3.7,49.4,47.2,5.4,47.4
Республика Хакасия,39.3,4.4,56.3,38.3,5.9,55.8,37.6,5.7,56.7
Алтайский край,38.0,6.4,55.6,42.1,5.1,52.8,38.7,3.9,57.4
Красноярский край,39.5,4.2,56.3,39.5,8.6,51.8,40.7,4.8,54.5
Иркутская область,36.8,5.7,57.4,39.8,4.2,56.0,39.8,7.4,52.8
Кемеровская область,44.0,4.9,51.2,45.0,4.8,50.1,39.4,5.9,54.8
Новосибирская область,33.1,11.0,55.9,33.6,9.3,57.0,44.5,3.4,52.0
Омская область,42.0,6.3,51.7,43.3,5.0,51.7,42.5,5.8,51.7
Томская область,38.6,4.5,57.0,39.8,3.0,57.2,40.3,6.9,52.8
Республика Бурятия,42.9,6.7,50.5,45.6,5.7,48.7,43.8,3.7,52.5
Забайкальский край,37.0,8.8,54.3,40.9,7.6,51.5,37.9,7.8,54.3
Республика Саха - Якутия,44.9,5.3,49.8,45.0,4.4,50.7,46.7,6.9,46.3
Камчатский край,31.3,5.2,63.5,45.9,0.9,53.2,46.4,0.0,53.6
Приморский край,36.1,5.9,58.0,39.5,4.4,56.1,41.0,7.7,51.3
Хабаровский край,38.8,6.8,54.4,35.4,5.2,59.4,43.2,13.7,43.2
Амурская область,39.9,6.0,54.1,40.6,4.6,54.8,33.9,7.2,58.9
Магаданская область,32.2,14.8,53.0,30.7,11.5,57.8,45.8,0.0,54.2
Сахалинская область,36.4,6.4,57.1,32.9,4.3,62.8,44.9,12.1,43.0
Еврейская автономная область,36.0,9.9,54.1,33.7,7.4,58.9,32.0,10.5,57.5
Чукотский автономный округ,46.9,2.7,50.4,51.0,0.0,49.0,0.0,0.0,0.0
Архангельская область,37.4,7.1,55.5,38.8,6.6,54.6,31.3,8.9,59.8
Тюменская область,52.5,2.2,45.2,52.2,0.6,47.2,43.7,7.4,48.9
