,"Динамика оборота розничной торговли на душу населения на 2015 г., в %","Динамика оборота розничной торговли на душу населения на 2016 г., в %","Динамика оборота розничной торговли на душу населения на 2017 г., в %","Динамика оборота розничной торговли на душу населения на 2018 г., в %","Динамика оборота розничной торговли на душу населения на 2019 г., в %","Динамика оборота розничной торговли на душу населения на 2020 г., в %","Динамика оборота розничной торговли на душу населения на 2021 г., в %"
Белгородская область,8.543446,8.089412,5.607156,6.768881,6.286309,2.761981,9.31136
Брянская область,11.701503,1.535742,7.236033,8.928544,7.539038,-0.077496,14.197648
Владимирская область,7.59779,3.037846,6.575329,7.466947,6.523259,1.386012,16.878658
Воронежская область,9.539997,4.941302,6.069843,7.072236,6.300406,0.212004,17.530188
Ивановская область,3.737019,0.152774,7.261367,6.037287,9.325127,1.006627,17.320896
Калужская область,3.453098,4.833616,4.71401,6.231578,7.932324,2.004238,9.792148
Костромская область,13.95541,10.011298,4.578225,5.506419,7.894273,4.674559,21.043839
Курская область,9.439564,5.208074,4.214523,8.930923,7.754305,0.147465,15.351898
Липецкая область,9.063333,4.775379,5.105517,8.873652,7.971627,-2.075623,15.337854
Московская область,7.642728,8.770325,8.747398,11.185855,8.310863,2.886796,21.476497
Орловская область,14.668645,3.728377,6.195307,7.074747,6.304076,3.182088,14.439652
Рязанская область,6.18528,1.588572,6.009308,7.94874,8.063452,5.139942,14.814683
Смоленская область,9.079516,-2.236781,3.995174,7.861312,5.220774,-1.403035,13.464514
Тамбовская область,9.609282,5.194098,3.363315,4.173057,6.911641,-5.188111,12.440867
Тверская область,5.241127,2.155608,1.746287,4.597934,10.082072,3.556152,17.042997
Тульская область,9.772085,1.741934,7.185825,6.440137,7.198965,-1.507663,16.914983
Ярославская область,7.503526,0.646565,9.342764,5.449821,7.125714,2.221911,21.185777
Москва,-3.736349,-1.378867,4.843884,5.125333,5.604477,1.300858,16.85451
Республка Карелия,7.110269,3.764218,5.577059,8.926482,6.723391,8.099507,11.358571
Республика Коми,-3.875517,-2.234027,3.871821,4.163312,6.269967,2.585558,10.010165
Ненецкий автономный округ,7.75169,6.189354,5.3063,2.762333,1.232885,1.171356,4.129422
Вологодская область,5.816149,2.977662,6.964265,9.178442,6.970487,7.489981,13.727859
Калининградская область,6.819296,4.947788,3.53018,7.503216,5.560509,1.854414,19.451022
Ленинградская область,11.731726,9.558551,7.131729,7.721153,6.424988,8.458311,16.736425
Мурманская область,2.098545,1.281089,6.270408,4.420469,6.35465,1.036392,8.16656
Новгородская область,11.624733,1.93794,3.861605,4.12388,5.366364,1.566596,13.643319
Псковская область,8.220361,-1.412873,7.939128,6.222377,8.71794,4.333467,16.881682
Санкт-Петербург,11.466745,6.915586,6.177138,5.475828,5.665476,1.966356,26.163164
Республика Адыгея,-1.426883,8.912748,7.41044,10.16926,5.669272,4.505843,29.550178
Республика Калмыкия,1.98474,5.540023,5.03463,9.688055,6.915864,3.325564,13.446199
Республика Крым,42.913555,1.963406,4.38102,11.452275,7.256981,3.070444,18.891613
Краснодарский край,7.492432,6.385723,3.886143,3.966072,6.210061,1.381791,28.185613
Астраханская область,5.228058,-3.88687,-0.250851,4.200111,4.945815,-2.58215,12.358546
Волгоградская область,7.168758,0.077234,6.711256,6.714146,7.786541,0.268267,15.972313
Ростовская область,9.508616,3.570933,3.369421,4.942906,6.240938,0.248835,19.317186
Севастополь,4.312451,54.276176,0.473296,2.044932,3.670899,-8.628356,32.813705
