,"Расходы на соцполитику от общих расходов бюджета региона в 2015 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2016 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2017 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2020 году, % в год"
Белгородская область,11.3,11.8,16.4,16.1
Брянская область,22.0,26.6,24.7,23.1
Владимирская область,18.1,18.0,24.0,26.0
Воронежская область,15.2,15.4,22.8,21.6
Ивановская область,18.1,28.9,28.7,25.1
Калужская область,14.5,20.0,18.6,16.9
Костромская область,14.9,15.2,22.2,22.5
Курская область,17.8,17.7,24.7,23.2
Липецкая область,14.6,21.9,21.4,22.3
Московская область,15.3,20.3,18.6,19.4
Орловская область,18.1,18.5,26.9,25.0
Рязанская область,16.2,15.9,23.0,22.0
Смоленская область,16.4,17.3,25.5,27.2
Тамбовская область,14.8,15.1,22.4,23.9
Тверская область,15.3,16.8,23.1,22.5
Тульская область,19.7,18.8,25.1,23.3
Ярославская область,16.0,18.0,23.3,23.5
Москва,17.7,16.6,15.8,17.5
Республка Карелия,19.7,19.9,29.6,24.2
Республика Коми,14.7,16.6,23.9,22.7
Вологодская область,20.3,21.4,28.9,25.9
Калининградская область,10.0,8.4,9.7,12.6
Ленинградская область,12.5,17.5,17.1,16.7
Мурманская область,16.4,18.1,25.9,22.8
Новгородская область,18.0,18.8,25.0,25.3
Псковская область,18.1,16.8,23.8,24.7
Санкт-Петербург,13.8,12.6,12.8,19.8
Ненецкий автономный округ,13.6,15.2,16.9,14.4
Республика Адыгея,17.6,15.5,24.4,20.2
Республика Калмыкия,16.8,15.5,25.0,24.3
Республика Крым,12.6,10.2,13.6,15.5
Краснодарский край,15.4,16.1,23.3,25.7
Астраханская область,18.8,20.5,27.7,31.4
Волгоградская область,18.0,26.7,24.7,25.1
Ростовская область,19.3,20.3,26.2,27.8
Севастополь,12.2,10.5,13.3,13.3
Республика Дагестан,13.7,29.1,27.3,28.3
Республика Ингушетия,16.8,17.3,30.8,32.5
Республика Кабардино-Балкария,13.8,14.8,25.4,34.4
Республика Карачаево-Черкессия,14.3,15.8,24.6,26.5
Республика Северная Осетия-Алания,14.2,15.1,26.3,25.0
Республика Чечня,21.5,20.9,28.2,35.1
Ставропольский край,19.3,19.4,29.4,30.8
Республика Башкортостан,13.3,12.7,22.9,22.4
Республика Марий Эл,14.7,15.2,24.2,22.4
Республика Мордовия,12.8,13.3,19.2,22.5
Республика Татарстан,9.8,9.6,14.2,13.7
Республика Удмуртия,13.6,13.7,22.3,23.1
Республика Чувашия,17.5,25.7,22.6,24.9
Пермский край,17.1,17.9,25.6,23.0
Кировская область,17.9,18.4,26.0,27.6
Нижегородская область,18.1,18.2,23.0,22.2
Оренбургская область,19.1,27.5,26.5,26.6
Пензенская область,16.2,16.0,25.4,22.4
Самарская область,21.6,20.3,22.1,23.4
Саратовская область,19.5,19.9,28.7,27.7
Ульяновская область,19.9,20.3,27.9,25.3
Курганская область,18.9,16.8,29.5,26.1
Свердловская область,16.6,17.0,24.1,23.5
Челябинская область,16.1,16.7,25.6,24.3
Ханты-Мансийский автономный округ - Югра,11.5,12.7,16.5,15.8
Ямало-Ненецкий автономный округ,13.1,12.0,14.0,12.6
Республика Алтай,16.5,13.0,20.6,19.8
Республика Тыва,15.4,15.0,24.5,23.8
Республика Хакасия,13.3,13.1,24.3,24.1
Алтайский край,18.8,20.4,30.9,29.7
Красноярский край,15.8,15.4,22.7,24.8
Иркутская область,15.9,15.3,24.6,28.6
Кемеровская область,17.1,16.8,25.9,23.0
Новосибирская область,16.7,18.1,24.1,25.4
Омская область,21.1,19.7,29.9,29.0
Томская область,15.5,16.1,23.1,23.5
Республика Бурятия,14.5,15.5,25.0,25.5
Республика Саха - Якутия,11.4,11.5,15.5,16.8
Забайкальский край,17.1,17.2,29.3,26.5
Камчатский край,12.8,12.6,16.4,13.3
Приморский край,19.8,15.2,25.3,23.5
Хабаровский край,16.6,17.4,22.9,25.7
Амурская область,19.2,28.9,26.3,21.7
Магаданская область,9.8,10.6,13.4,11.1
Сахалинская область,6.4,9.9,16.8,16.5
Еврейская автономная область,18.4,17.7,28.3,31.2
Чукотский автономный округ,6.9,6.5,7.8,6.4
Архангельская область,15.4,16.3,24.8,21.4
Тюменская область,12.8,18.5,19.8,21.9
