,"Динамика населения на 2016 г., в %","Динамика населения на 2018 г., в %","Динамика населения на 2020 г., в %","Динамика населения на 2021 г., в %","Динамика населения на 2022 г., в %","Динамика среднедушевых денежных доходов на 2019 г., в %","Динамика среднедушевых денежных доходов на 2020 г., в %",Реальные денежные доходы в 2016 году в % к предыдущему году,Реальные денежные доходы в 2017 году в % к предыдущему году,Реальные денежные доходы в 2018 году в % к предыдущему году,Реальные денежные доходы в 2019 году в % к предыдущему году,Реальные денежные доходы в 2020 году в % к предыдущему году,"Среднемесячная номинальная начисленная заработная плата в 2020 году, руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2016 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2017 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2018 г., руб.","Реальная начисленная заработная плата в 2016 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2019 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2020 году в % к предыдущему году, руб.","Динамика ВРП на душу населения в 2015 году, руб.","Динамика ВРП на душу населения в 2016 году, руб.","Динамика ВРП на душу населения в 2017 году, руб.","Динамика ВРП на душу населения в 2018 году, руб.","Динамика ВРП на душу населения в 2019 году, руб.","Динамика ВРП на душу населения в 2020 году, руб.","ВРП на душу населения в 2020 году, руб.","Расходы на соцполитику от общих расходов бюджета региона в 2015 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2016 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2017 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2020 году, % в год","Оборот розничной торговли на душу населения в 2014 году, руб.","Оборот розничной торговли на душу населения в 2021 году, руб.","Динамика оборота розничной торговли на душу населения на 2015 г., в %","Динамика оборота розничной торговли на душу населения на 2016 г., в %","Динамика оборота розничной торговли на душу населения на 2017 г., в %","Динамика оборота розничной торговли на душу населения на 2018 г., в %","Динамика оборота розничной торговли на душу населения на 2019 г., в %","Динамика оборота розничной торговли на душу населения на 2020 г., в %","Динамика оборота розничной торговли на душу населения на 2021 г., в %","Отношение числа людей с инвалидностью в возрасте 18_30 ко всему населению в регионе на 2022 г., в %","Отношение числа людей с инвалидностью в возрасте 51_60 ко всему населению в регионе на 2022 г., в %","Отношение числа людей с инвалидностью в возрасте 60_ ко всему населению в регионе на 2022 г., в %",Динамика процента людей за чертой бедности в 2016 году,Динамика процента людей за чертой бедности в 2017 году,Динамика процента людей за чертой бедности в 2018 году,Динамика процента людей за чертой бедности в 2019 году,Динамика процента людей за чертой бедности в 2020 году,Процент малоимущих среди детей до 16 лет в 2017 году,Процент малоимущих среди населения старше трудоспособного возраста в 2017 году,Процент малоимущих среди населения трудоспособного возраста в 2017 году,Процент малоимущих среди детей до 16 лет в 2018 году,Процент малоимущих среди населения старше трудоспособного возраста в 2018 году,Процент малоимущих среди населения трудоспособного возраста в 2018 году,Процент малоимущих среди детей до 16 лет в 2019 году,Процент малоимущих среди населения старше трудоспособного возраста в 2019 году,Процент малоимущих среди населения трудоспособного возраста в 2019 году,Динамика новорождённых в 2016 году,Динамика новорождённых в 2017 году,Динамика новорождённых в 2018 году,Динамика новорождённых в 2019 году,Динамика новорождённых в 2020 году,Динамика новорождённых в 2021 году,"Отношение числа умерших за 2015 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2016 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2017 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2018 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2019 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2019 год детей в сельской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в сельской местности к числу новорожденных, в %"
Белгородская область,0.142189,-0.192483,0.111993,-0.50944,-0.606128,5.114042,1.511499,100.8,99.1,98.7,100.6,98.1,37442.0,6.422847,7.290244,9.585082,100.8,104.0,104.8,11.675766,12.029877,7.628147,9.064136,4.890073,4.719995,646569.0,11.3,11.8,16.4,16.1,164079.0,259151.0,8.543446,8.089412,5.607156,6.768881,6.286309,2.761981,9.31136,0.317772,1.754338,8.271597,-0.4000000000000003,-0.2999999999999998,-0.2999999999999998,0.2999999999999998,-0.5999999999999996,43.4,11.8,44.8,44.8,12.9,42.3,0.0,0.0,0.0,-3.375504,-12.444238,-5.260372,-7.822322,-6.410062,-1.044365,0.380653828929691,0.4171253113956318,0.2845232581221465,0.2793686269031987,0.1742688286103955,0.2023963730569948,0.1212304894681012,0.1781088082901554
Брянская область,-0.583889,-0.782283,-0.641233,-0.822564,-1.176225,6.718074,0.793063,95.0,99.4,102.1,100.5,96.3,31946.0,5.738272,7.939624,10.1362,98.5,104.0,102.9,12.740296,17.040302,8.454946,8.522607,9.159733,4.440373,347204.5,22.0,26.6,24.7,23.1,158501.0,257679.0,11.701503,1.535742,7.236033,8.928544,7.539038,-0.077496,14.197648,0.286797,1.431161,5.492094,0.3000000000000007,-0.200000000000001,-0.5999999999999996,0.200000000000001,-0.200000000000001,42.9,4.9,52.2,40.3,1.8,57.9,37.5,5.1,57.4,-4.890879,-13.648255,-3.713321,-9.852571,-5.464699,-4.567511,0.4762920309945261,0.5007848120188354,0.562624426555873,0.296655879180151,0.2592740327084164,0.3059071729957806,0.1096928599920223,0.1265822784810126
Владимирская область,-0.600805,-0.81045,-0.541,-1.201178,-1.373967,7.727601,2.22415,92.2,100.9,96.4,101.9,98.0,35240.0,5.268669,7.320469,12.91937,99.2,103.5,103.0,12.969673,17.786271,4.949539,7.633849,12.777785,4.02557,410443.6,18.1,18.0,24.0,26.0,129564.0,207670.0,7.59779,3.037846,6.575329,7.466947,6.523259,1.386012,16.878658,0.27983,1.247376,5.846899,-0.0999999999999996,-1.4000000000000004,-0.0999999999999996,-0.5,-0.0999999999999996,34.8,8.6,56.6,48.9,8.3,42.8,34.8,4.8,60.4,-3.8197,-14.474524,-5.502053,-11.850213,-9.302742,-3.359684,0.4667157946450503,0.4597114033967565,0.4404628592758492,0.355506399115184,0.3853737228894067,0.5039525691699606,0.1344326940311883,0.0988142292490118
Воронежская область,0.099951,-0.070223,-0.155338,-0.800145,-0.777669,5.721549,0.17488,93.6,97.4,100.0,101.1,95.4,36317.0,5.737573,6.348965,11.425715,99.1,103.4,103.2,12.195301,2.630779,5.489177,9.091864,5.609904,6.633421,459629.5,15.2,15.4,22.8,21.6,181499.0,296665.0,9.539997,4.941302,6.069843,7.072236,6.300406,0.212004,17.530188,0.285573,1.514374,5.87421,-0.0999999999999996,-0.4000000000000003,-0.0999999999999996,0.0,-0.4000000000000003,38.6,5.9,55.6,32.6,8.0,59.4,45.2,5.4,49.4,-3.803425,-10.085011,-4.642555,-8.133009,-2.4538,-2.964355,0.3896003703132233,0.3849546876253107,0.4013735896178031,0.3601159854082874,0.3767245329124879,0.3026981890298001,0.0356361044646948,0.0626272115234069
Ивановская область,-0.681931,-0.833097,-0.701567,-1.013203,-1.024688,5.268743,1.872528,98.5,100.4,94.4,99.5,97.2,29083.0,4.645338,5.988078,9.625053,97.6,102.1,101.6,19.622262,14.778905,3.998715,10.456211,8.364727,9.707819,273821.5,18.1,28.9,28.7,25.1,138185.0,211546.0,3.737019,0.152774,7.261367,6.037287,9.325127,1.006627,17.320896,0.265734,1.091494,4.940333,-1.0999999999999996,-0.5999999999999996,0.3999999999999986,-0.5,-0.5,33.2,10.9,55.9,31.2,9.5,59.3,47.5,5.0,47.5,-4.906045,-11.686338,-7.522527,-12.951609,-4.879889,-3.120455,0.4081285604965564,0.4560085836909871,0.3138604839526172,0.3065469673746441,0.3898880643944158,0.3305566574110802,0.1131933090177336,0.0396667988893296
Калужская область,-0.070659,-0.237933,-0.674176,-0.15909,1.185238,7.775756,3.338217,97.7,95.2,98.0,102.8,99.2,43994.0,5.771736,8.415701,11.257719,98.3,103.9,102.4,3.805115,20.271714,11.491339,11.35162,7.894064,3.008931,558174.6,14.5,20.0,18.6,16.9,161623.0,235693.0,3.453098,4.833616,4.71401,6.231578,7.932324,2.004238,9.792148,0.290173,1.125642,4.683347,-0.5,-0.3000000000000007,0.4000000000000003,-0.200000000000001,-0.5,41.5,8.0,50.6,40.8,5.5,53.7,31.1,18.4,50.4,-4.178708,-10.69449,-5.503834,-13.097653,-0.088919,-3.949271,0.671717566195423,0.6031953048581675,0.3194596568090543,0.4153385492127885,0.3223296654440369,0.2224941595283124,0.0778037123485606,0.0889976638113249
Костромская область,-0.449273,-0.745653,-0.609164,-0.78341,-1.216856,6.615787,1.957682,98.1,99.8,94.7,100.9,97.3,32220.0,5.473481,6.807604,12.91032,98.5,108.1,98.6,9.851834,6.514939,5.512441,8.380728,6.621344,1.423586,323951.6,14.9,15.2,22.2,22.5,114959.0,217379.0,13.95541,10.011298,4.578225,5.506419,7.894273,4.674559,21.043839,0.296242,1.321411,5.685626,-0.6000000000000014,-0.2999999999999989,-0.7000000000000011,-0.0999999999999996,-0.0999999999999996,40.8,7.7,51.4,46.8,1.1,52.1,42.1,6.3,51.6,-3.923492,-11.753446,-10.22415,-6.862113,-6.57212,-8.922621,0.4659146640510054,0.4849412965798876,0.4483007953723789,0.4188144329896907,0.6226219301279834,0.5368382080710848,0.1210653753026634,0.2406516105146242
Курская область,0.236357,-0.68181,-0.273974,-0.681154,-1.176848,6.870761,2.185324,93.2,99.1,100.1,100.9,97.8,35805.0,5.877681,7.687448,9.763878,98.4,103.8,105.3,12.922476,12.18988,7.021762,12.219038,10.692153,8.400413,487030.7,17.8,17.7,24.7,23.2,146850.0,238933.0,9.439564,5.208074,4.214523,8.930923,7.754305,0.147465,15.351898,0.427932,2.072843,5.975448,0.0999999999999996,-0.1999999999999993,-0.4000000000000003,0.0,0.0,33.8,8.1,58.1,37.4,7.6,55.0,47.0,5.9,47.2,-5.219591,-12.801229,-4.720393,-9.246642,-2.284427,-3.347602,0.2605963056641374,0.3477276403040595,0.3338588518965037,0.3795989877360327,0.2895752895752895,0.3402480518055098,0.1501501501501501,0.1207331796729228
Липецкая область,-0.15304,-0.520662,-0.40768,-0.981155,-1.286306,8.227258,-0.778965,96.8,100.1,100.1,102.6,94.9,36790.0,6.891209,8.548867,11.129854,100.4,103.3,103.3,12.864908,11.720785,4.456107,16.340399,-5.180549,9.320559,546151.3,14.6,21.9,21.4,22.3,171096.0,272834.0,9.063333,4.775379,5.105517,8.873652,7.971627,-2.075623,15.337854,0.323791,1.5658,6.287892,-0.1000000000000014,-0.3999999999999986,-0.1000000000000014,-0.0999999999999996,-0.1999999999999993,30.4,12.9,56.7,41.0,4.3,54.7,46.4,4.8,48.8,-2.710128,-11.73777,-5.698227,-9.875298,-4.476549,-4.217702,0.4232254232254231,0.4655422422346027,0.2075226977950713,0.2200623509994498,0.1526096245803235,0.2343167536478858,0.1424356496083019,0.1384598998828416
Московская область,1.211149,1.076518,1.200266,0.229311,0.783278,5.578545,-0.328383,99.7,100.0,102.6,102.1,97.8,58066.0,4.952882,9.799325,10.89333,96.3,102.2,101.8,14.495216,30.515695,0.728834,6.997084,9.062597,1.944662,683845.1,15.3,20.3,18.6,19.4,220314.0,422211.0,7.642728,8.770325,8.747398,11.185855,8.310863,2.886796,21.476497,0.208396,0.78297,3.255901,-0.5000000000000009,0.1000000000000005,-0.6000000000000005,0.0,-0.5,42.8,6.7,50.5,38.4,6.7,54.9,49.1,11.5,39.3,2.238932,-8.186307,-6.677317,-11.111781,7.29137,-7.061322,0.436169313957418,0.4059581852739443,0.3600238515801672,0.3749336933982736,0.3621271920901656,0.2781043396918098,0.0393321669311415,0.032866876509032
Орловская область,-0.720044,-1.002761,-0.807203,-1.201367,-1.461599,4.695722,2.988797,96.0,99.7,100.5,99.1,98.6,31862.0,6.22359,7.281532,10.741203,98.6,103.2,103.7,17.23284,10.52494,1.948803,8.02117,8.517371,8.160804,390170.2,18.1,18.5,26.9,25.0,131430.0,223131.0,14.668645,3.728377,6.195307,7.074747,6.304076,3.182088,14.439652,0.328528,1.211185,5.006764,-0.3000000000000007,-0.2999999999999989,-0.4000000000000003,0.0999999999999996,-0.6999999999999993,35.1,7.9,57.0,39.8,4.7,55.5,38.9,6.3,54.7,-3.162563,-13.919017,-5.711886,-11.180401,-4.129054,-5.945946,0.5018088458396546,0.4338394793926247,0.3639927201455971,0.311804008908686,0.3343363423604146,0.3661726242371403,0.2006018054162487,0.2092414995640802
Рязанская область,-0.469863,-0.467278,-0.474807,-0.955046,-1.193254,5.679808,1.584468,94.2,97.3,100.3,99.9,97.2,36459.0,6.981399,5.715124,10.746383,100.7,102.7,101.8,9.827746,13.768773,8.351074,5.882611,5.367024,5.235909,412845.1,16.2,15.9,23.0,22.0,140026.0,225488.0,6.18528,1.588572,6.009308,7.94874,8.063452,5.139942,14.814683,0.330368,1.599868,7.693116,-0.1999999999999993,0.5,-0.3000000000000007,-0.3000000000000007,0.1000000000000014,37.6,9.0,53.5,33.6,6.4,60.0,30.2,9.6,60.2,1.32985,-13.827045,-6.998459,-9.961985,-5.80275,-7.665786,0.4591150162273411,0.3359112569330521,0.3444837276765479,0.3801540111121942,0.3897369275738876,0.3562808872543386,0.1082602576594132,0.1723939777037122
Смоленская область,-0.638584,-0.404217,-0.793113,-1.472046,-1.22361,5.79419,2.789543,93.1,100.9,101.0,100.4,98.3,33139.0,6.932254,4.669881,11.907572,100.4,101.8,102.5,9.898775,11.19515,11.074286,7.449716,4.680529,4.16768,386274.8,16.4,17.3,25.5,27.2,150008.0,211221.0,9.079516,-2.236781,3.995174,7.861312,5.220774,-1.403035,13.464514,0.284111,1.240636,4.652714,0.1999999999999993,-0.9000000000000021,-0.5,-0.0999999999999978,-0.7000000000000011,32.1,10.3,57.7,33.0,9.6,57.4,39.1,8.9,51.9,-3.258096,-12.172855,-9.69046,-9.336232,-7.546904,-6.48459,0.5103042198233563,0.476770135930209,0.4042504042504042,0.4604169331116511,0.3526590492312033,0.411962160512664,0.0564254478769925,0.183094293561184
